borough_code,borough_name,ward_code,ward_name,lsoa_code,lsoa_name,prediction_score,officers_assigned
E09000026,Redbridge,E05011241,Cranbrook,E01003694,Redbridge 035E,0.5010949969291687,18
E09000026,Redbridge,E05011241,Cranbrook,E01003696,Redbridge 035G,0.3782353401184082,13
E09000026,Redbridge,E05011241,Cranbrook,E01003695,Redbridge 035F,0.21390710771083832,7
E09000026,Redbridge,E05011241,Cranbrook,E01003697,Redbridge 035H,0.5497636795043945,20
E09000026,Redbridge,E05011241,Cranbrook,E01003692,Redbridge 035C,0.31776195764541626,11
E09000026,Redbridge,E05011247,Loxford,E01003729,Redbridge 032B,0.7217795252799988,16
E09000026,Redbridge,E05011247,Loxford,E01003734,Redbridge 033B,1.0787043571472168,24
E09000026,Redbridge,E05011247,Loxford,E01003732,Redbridge 032D,0.700279712677002,15
E09000026,Redbridge,E05011247,Loxford,E01003736,Redbridge 033D,0.6998774409294128,15
E09000026,Redbridge,E05011247,Loxford,E01003731,Redbridge 033A,0.6545794606208801,14
E09000026,Redbridge,E05011247,Loxford,E01003733,Redbridge 032E,0.6176089644432068,13
E09000026,Redbridge,E05011234,Aldborough,E01003644,Redbridge 017C,0.5606473088264465,11
E09000026,Redbridge,E05011234,Aldborough,E01003643,Redbridge 017B,0.4444974958896637,8
E09000026,Redbridge,E05011234,Aldborough,E01003645,Redbridge 017D,1.761656641960144,34
E09000026,Redbridge,E05011234,Aldborough,E01003638,Redbridge 017A,0.9036988019943237,17
E09000026,Redbridge,E05011234,Aldborough,E01003641,Redbridge 013C,0.7603214383125305,15
E09000026,Redbridge,E05011234,Aldborough,E01003642,Redbridge 013D,0.6106890439987183,12
E09000026,Redbridge,E05011254,Wanstead Park,E01003796,Redbridge 018D,0.4630674719810486,100
E09000026,Redbridge,E05011252,South Woodford,E01003765,Redbridge 009G,1.185300350189209,27
E09000026,Redbridge,E05011252,South Woodford,E01003759,Redbridge 009A,0.5752561688423157,13
E09000026,Redbridge,E05011252,South Woodford,E01003764,Redbridge 009F,0.6915445923805237,16
E09000026,Redbridge,E05011252,South Woodford,E01003668,Redbridge 007A,0.997549831867218,23
